Level Name,Stimulus Path,Probability,Value,Index
TA,/home/educage/git_educage2/educage2/pythonProject1/stimuli/7-07.npz,1,go,1
1B_1T,/home/educage/git_educage2/educage2/pythonProject1/stimuli/7-07.npz,1,go,2
1B_1T,/home/educage/git_educage2/educage2/pythonProject1/stimuli/13-9.npz,1,no-go,3
1B_2T,/home/educage/git_educage2/educage2/pythonProject1/stimuli/7-07.npz,1,go,4
1B_2T,/home/educage/git_educage2/educage2/pythonProject1/stimuli/7-69.npz,1,go,5
1B_2T,/home/educage/git_educage2/educage2/pythonProject1/stimuli/12-77.npz,1,no-go,6
1B_2T,/home/educage/git_educage2/educage2/pythonProject1/stimuli/13-9.npz,1,no-go,7
1B_3T,/home/educage/git_educage2/educage2/pythonProject1/stimuli/7-07.npz,1,go,8
1B_3T,/home/educage/git_educage2/educage2/pythonProject1/stimuli/7-69.npz,1,go,9
1B_3T,/home/educage/git_educage2/educage2/pythonProject1/stimuli/8-37.npz,1,go,10
1B_3T,/home/educage/git_educage2/educage2/pythonProject1/stimuli/13-9.npz,1,no-go,11
1B_3T,/home/educage/git_educage2/educage2/pythonProject1/stimuli/12-77.npz,1,no-go,12
1B_3T,/home/educage/git_educage2/educage2/pythonProject1/stimuli/11-74.npz,1,no-go,13
1B_4T,/home/educage/git_educage2/educage2/pythonProject1/stimuli/7-07.npz,1,go,14
1B_4T,/home/educage/git_educage2/educage2/pythonProject1/stimuli/7-69.npz,1,go,15
1B_4T,/home/educage/git_educage2/educage2/pythonProject1/stimuli/8-37.npz,1,go,16
1B_4T,/home/educage/git_educage2/educage2/pythonProject1/stimuli/9-11.npz,1,go,17
1B_4T,/home/educage/git_educage2/educage2/pythonProject1/stimuli/10-78.npz,1,no-go,18
1B_4T,/home/educage/git_educage2/educage2/pythonProject1/stimuli/11-74.npz,1,no-go,19
1B_4T,/home/educage/git_educage2/educage2/pythonProject1/stimuli/12-77.npz,1,no-go,20
1B_4T,/home/educage/git_educage2/educage2/pythonProject1/stimuli/13-9.npz,1,no-go,21
2B_1T,/home/educage/git_educage2/educage2/pythonProject1/stimuli/7-07.npz,1,go,22
2B_1T,/home/educage/git_educage2/educage2/pythonProject1/stimuli/11-74.npz,2,no-go,23
2B_1T,/home/educage/git_educage2/educage2/pythonProject1/stimuli/21-21.npz,1,go,24
2B_2T,/home/educage/git_educage2/educage2/pythonProject1/stimuli/7-07.npz,1,go,25
2B_2T,/home/educage/git_educage2/educage2/pythonProject1/stimuli/7-69.npz,1,go,26
2B_2T,/home/educage/git_educage2/educage2/pythonProject1/stimuli/12-77.npz,2,no-go,27
2B_2T,/home/educage/git_educage2/educage2/pythonProject1/stimuli/11-74.npz,2,no-go,28
2B_2T,/home/educage/git_educage2/educage2/pythonProject1/stimuli/21-21.npz,1,go,29
2B_2T,/home/educage/git_educage2/educage2/pythonProject1/stimuli/19-49.npz,1,go,30
2B_3T,/home/educage/git_educage2/educage2/pythonProject1/stimuli/7-07.npz,1,go,31
2B_3T,/home/educage/git_educage2/educage2/pythonProject1/stimuli/7-69.npz,1,go,32
2B_3T,/home/educage/git_educage2/educage2/pythonProject1/stimuli/8-37.npz,1,go,33
2B_3T,/home/educage/git_educage2/educage2/pythonProject1/stimuli/11-74.npz,2,no-go,34
2B_3T,/home/educage/git_educage2/educage2/pythonProject1/stimuli/12-77.npz,2,no-go,35
2B_3T,/home/educage/git_educage2/educage2/pythonProject1/stimuli/13-9.npz,2,no-go,36
2B_3T,/home/educage/git_educage2/educage2/pythonProject1/stimuli/21-21.npz,1,go,37
2B_3T,/home/educage/git_educage2/educage2/pythonProject1/stimuli/19-49.npz,1,go,38
2B_3T,/home/educage/git_educage2/educage2/pythonProject1/stimuli/17-91.npz,1,go,39
2B_4T,/home/educage/git_educage2/educage2/pythonProject1/stimuli/7-07.npz,1,go,40
2B_4T,/home/educage/git_educage2/educage2/pythonProject1/stimuli/7-69.npz,1,go,41
2B_4T,/home/educage/git_educage2/educage2/pythonProject1/stimuli/8-37.npz,1,go,42
2B_4T,/home/educage/git_educage2/educage2/pythonProject1/stimuli/9-11.npz,1,go,43
2B_4T,/home/educage/git_educage2/educage2/pythonProject1/stimuli/10-78.npz,2,no-go,44
2B_4T,/home/educage/git_educage2/educage2/pythonProject1/stimuli/11-74.npz,2,no-go,45
2B_4T,/home/educage/git_educage2/educage2/pythonProject1/stimuli/12-77.npz,2,no-go,46
2B_4T,/home/educage/git_educage2/educage2/pythonProject1/stimuli/13-9.npz,2,no-go,47
2B_4T,/home/educage/git_educage2/educage2/pythonProject1/stimuli/16-46.npz,1,go,48
2B_4T,/home/educage/git_educage2/educage2/pythonProject1/stimuli/17-91.npz,1,go,49
2B_4T,/home/educage/git_educage2/educage2/pythonProject1/stimuli/19-49.npz,1,go,50
2B_4T,/home/educage/git_educage2/educage2/pythonProject1/stimuli/21-21.npz,1,go,51
