Level Name,Stimulus Path,Probability,Value,Index
0Bֹֹ_1T,/home/educage/git_educage2/educage2/pythonProject1/stimuli/7-07.npz,1,go,1
1B_1T,/home/educage/git_educage2/educage2/pythonProject1/stimuli/7-07.npz,1,go,2
1B_1T,/home/educage/git_educage2/educage2/pythonProject1/stimuli/13-66.npz,1,no-go,3
1B_2T,/home/educage/git_educage2/educage2/pythonProject1/stimuli/7-07.npz,1,go,4
1B_2T,/home/educage/git_educage2/educage2/pythonProject1/stimuli/7-89.npz,1,go,5
1B_2T,/home/educage/git_educage2/educage2/pythonProject1/stimuli/13-66.npz,1,no-go,6
1B_2T,/home/educage/git_educage2/educage2/pythonProject1/stimuli/12-24.npz,1,no-go,7
1B_3T_WITHCATCH,/home/educage/git_educage2/educage2/pythonProject1/stimuli/7-07.npz,100,go,8
1B_3T_WITHCATCH,/home/educage/git_educage2/educage2/pythonProject1/stimuli/7-89.npz,100,go,9
1B_3T_WITHCATCH,/home/educage/git_educage2/educage2/pythonProject1/stimuli/8-80.npz,100,go,10
1B_3T_WITHCATCH,/home/educage/git_educage2/educage2/pythonProject1/stimuli/10-97.npz,100,no-go,11
1B_3T_WITHCATCH,/home/educage/git_educage2/educage2/pythonProject1/stimuli/12-24.npz,100,no-go,12
1B_3T_WITHCATCH,/home/educage/git_educage2/educage2/pythonProject1/stimuli/13-66.npz,100,no-go,13
1B_3T_WITHCATCH,/home/educage/git_educage2/educage2/pythonProject1/stimuli/9-8301-lowB.npz,5,catch,14
2B_1T,/home/educage/git_educage2/educage2/pythonProject1/stimuli/7-07.npz,1,go,15
2B_1T,/home/educage/git_educage2/educage2/pythonProject1/stimuli/12-24.npz,2,no-go,16
2B_1T,/home/educage/git_educage2/educage2/pythonProject1/stimuli/21-21.npz,1,go,17
2B_2T,/home/educage/git_educage2/educage2/pythonProject1/stimuli/7-07.npz,1,go,18
2B_2T,/home/educage/git_educage2/educage2/pythonProject1/stimuli/7-89.npz,1,go,19
2B_2T,/home/educage/git_educage2/educage2/pythonProject1/stimuli/12-24.npz,2,no-go,20
2B_2T,/home/educage/git_educage2/educage2/pythonProject1/stimuli/13-66.npz,2,no-go,21
2B_2T,/home/educage/git_educage2/educage2/pythonProject1/stimuli/21-21.npz,1,go,22
2B_2T,/home/educage/git_educage2/educage2/pythonProject1/stimuli/19-00.npz,1,go,23
2B_3T_WITHCATCH,/home/educage/git_educage2/educage2/pythonProject1/stimuli/7-07.npz,50,go,24
2B_3T_WITHCATCH,/home/educage/git_educage2/educage2/pythonProject1/stimuli/7-89.npz,50,go,25
2B_3T_WITHCATCH,/home/educage/git_educage2/educage2/pythonProject1/stimuli/8-80.npz,50,go,26
2B_3T_WITHCATCH,/home/educage/git_educage2/educage2/pythonProject1/stimuli/10-97.npz,100,no-go,27
2B_3T_WITHCATCH,/home/educage/git_educage2/educage2/pythonProject1/stimuli/12-24.npz,100,no-go,28
2B_3T_WITHCATCH,/home/educage/git_educage2/educage2/pythonProject1/stimuli/13-66.npz,100,no-go,29
2B_3T_WITHCATCH,/home/educage/git_educage2/educage2/pythonProject1/stimuli/17-02.npz,50,go,30
2B_3T_WITHCATCH,/home/educage/git_educage2/educage2/pythonProject1/stimuli/19-00.npz,50,go,31
2B_3T_WITHCATCH,/home/educage/git_educage2/educage2/pythonProject1/stimuli/21-21.npz,50,go,33
2B_3T_WITHCATCH,/home/educage/git_educage2/educage2/pythonProject1/stimuli/9-8301-lowB.npz,5,catch,34
2B_3T_WITHCATCH,/home/educage/git_educage2/educage2/pythonProject1/stimuli/15-25-highB.npz,5,catch,35
