date,start time,end time,mouse ID,level,go\no-go,stim index,stim name,score,licks_time
2025-08-27,15:43:51.041992,15:43:54.907118,0007DECB4A,L1,go,2,7KHZ.npz,miss,[]
2025-08-27,15:43:58.455390,15:44:00.747129,0007DECB4A,L1,go,2,7KHZ.npz,hit,"['15:43:59.064255', '15:43:59.308445', '15:43:59.475784', '15:43:59.720385', '15:43:59.964119']"
2025-08-27,15:44:05.391202,15:44:07.693749,0007DECB4A,L1,go,2,7KHZ.npz,hit,"['15:44:06.168231', '15:44:06.334230', '15:44:06.579874', '15:44:06.746868', '15:44:06.910837']"
2025-08-27,15:44:10.167423,15:44:14.024876,0007DECB4A,L1,go,2,7KHZ.npz,miss,[]
2025-08-27,15:44:17.230044,15:44:21.076602,0007DECB4A,L1,go,2,7KHZ.npz,miss,[]
2025-08-27,15:47:18.095303,15:47:28.856981,0007DECB4A,L1,no-go,3,14KHZ.npz,fa,"['15:47:20.413756', '15:47:20.579798', '15:47:20.743729', '15:47:20.907946', '15:47:21.072407']"
2025-08-27,15:47:30.109991,15:47:32.471602,0007DECB4A,L1,go,2,7KHZ.npz,hit,"['15:47:30.795455', '15:47:31.041838', '15:47:31.205736', '15:47:31.450114', '15:47:31.614201']"
2025-08-27,15:47:33.740101,15:47:43.185445,0007DECB4A,L1,no-go,3,14KHZ.npz,fa,"['15:47:34.665816', '15:47:34.912134', '15:47:35.076336', '15:47:35.240260', '15:47:35.404110']"
2025-08-27,15:59:59.950298,16:00:03.774900,0007DECB4A,L1,no-go,3,14KHZ.npz,cr,"['16:00:02.159092', '16:00:02.325046', '16:00:02.489802']"
2025-08-27,16:00:06.027087,16:00:09.823811,0007DECB4A,L1,go,2,7KHZ.npz,miss,[]
