date,start time,end time,mouse ID,level,go\no-go,stim index,stim name,score,licks_time
2025-09-01,15:22:41.487438,15:22:45.334577,000799EB9B,L1,go,2,7KHZ.npz,miss,[]
2025-09-01,15:22:46.548285,15:22:50.375316,000799EB9B,L1,go,2,7KHZ.npz,miss,[]
2025-09-01,15:23:41.930538,15:23:44.957169,000799EB9B,L1,go,2,7KHZ.npz,hit,"['15:23:43.365282', '15:23:43.533586', '15:23:43.777965', '15:23:43.942922', '15:23:44.107211']"
2025-09-01,15:24:06.239764,15:24:10.145121,000799EB9B,L1,no-go,3,14KHZ.npz,cr,"['15:24:08.799677', '15:24:08.965689', '15:24:09.130428', '15:24:09.293309']"
2025-09-01,15:24:15.728331,15:24:19.121316,000799EB9B,L1,go,2,7KHZ.npz,hit,"['15:24:17.560727', '15:24:17.725881', '15:24:17.889927', '15:24:18.054874', '15:24:18.222395']"
2025-09-01,15:24:22.190134,15:24:24.263052,000799EB9B,L1,go,2,7KHZ.npz,hit,"['15:24:22.745510', '15:24:22.908409', '15:24:23.071339', '15:24:23.239020', '15:24:23.403022']"
2025-09-01,15:24:31.065033,15:24:33.121833,000799EB9B,L1,go,2,7KHZ.npz,hit,"['15:24:31.619984', '15:24:31.782933', '15:24:31.945803', '15:24:32.110401', '15:24:32.274121']"
2025-09-01,15:24:36.449900,15:24:38.753692,000799EB9B,L1,go,2,7KHZ.npz,hit,"['15:24:37.253308', '15:24:37.418397', '15:24:37.584164', '15:24:37.748922', '15:24:37.912965']"
2025-09-01,15:24:40.305987,15:24:48.485377,000799EB9B,L1,no-go,3,14KHZ.npz,fa,"['15:24:41.006282', '15:24:41.169338', '15:24:41.333412', '15:24:41.497543', '15:24:41.664638']"
2025-09-01,15:25:17.396771,15:25:21.244094,000799EB9B,L1,go,2,7KHZ.npz,miss,"['15:25:18.595717', '15:25:18.761450', '15:25:19.005600', '15:25:19.170919', '15:25:19.415116']"
