date,start time,end time,mouse ID,level,go\no-go,stim index,stim name,score,licks_time
2025-10-05,09:52:49.426847,09:52:57.116699,0007DEFBE1,1B_1T,no-go,3,13-9.npz,fa,"['09:52:49.525881', '09:52:49.612546', '09:52:49.740082', '09:52:49.872930', '09:52:49.980064']"
2025-10-05,09:52:59.997389,09:53:07.946015,0007DEFBE1,1B_1T,no-go,3,13-9.npz,fa,"['09:53:00.081992', '09:53:00.202306', '09:53:00.796379', '09:53:01.058781', '09:53:01.195004']"
2025-10-05,09:53:09.553245,09:53:16.876894,0007DEFBE1,1B_1T,no-go,3,13-9.npz,fa,"['09:53:09.607610', '09:53:09.742689', '09:53:09.868655', '09:53:09.994232', '09:53:10.111424']"
2025-10-05,09:53:19.426303,09:53:20.808966,0007DEFBE1,1B_1T,go,2,7-07.npz,hit,"['09:53:19.516471', '09:53:19.652263', '09:53:19.770314', '09:53:19.890203', '09:53:20.009041']"
2025-10-05,09:53:26.113761,09:53:35.219254,0007DEFBE1,1B_1T,no-go,3,13-9.npz,fa,"['09:53:26.168196', '09:53:26.296600', '09:53:26.432768', '09:53:26.569349', '09:53:28.418465']"
2025-10-05,09:53:37.018732,09:53:40.880786,0007DEFBE1,1B_1T,go,2,7-07.npz,miss,['09:53:37.119120']
2025-10-05,09:53:42.158128,09:53:45.949754,0007DEFBE1,1B_1T,no-go,3,13-9.npz,cr,[]
2025-10-05,10:00:21.509582,10:00:23.213669,00082F18E9,2B_1T,go,22,7-07.npz,hit,"['10:00:21.601858', '10:00:21.655755', '10:00:21.751045', '10:00:21.867170', '10:00:21.988274']"
2025-10-05,10:00:24.601830,10:00:25.927598,00082F18E9,2B_1T,go,24,21-21.npz,hit,"['10:00:24.661905', '10:00:24.744248', '10:00:24.872104', '10:00:24.997959', '10:00:25.144153']"
2025-10-05,10:00:27.410895,10:00:34.808608,00082F18E9,2B_1T,no-go,23,11-74.npz,fa,"['10:00:27.464641', '10:00:27.608372', '10:00:27.747324', '10:00:27.935240', '10:00:28.070159']"
2025-10-05,10:00:38.664729,10:00:45.991167,00082F18E9,2B_1T,no-go,23,11-74.npz,fa,"['10:00:38.724002', '10:00:38.853600', '10:00:38.971647', '10:00:39.099647', '10:00:39.225345']"
2025-10-05,10:00:47.245797,10:00:48.553069,00082F18E9,2B_1T,go,24,21-21.npz,hit,"['10:00:47.297009', '10:00:47.350048', '10:00:47.482256', '10:00:47.618136', '10:00:47.757163']"
2025-10-05,10:00:50.076724,10:00:51.492615,00082F18E9,2B_1T,go,22,7-07.npz,hit,"['10:00:50.220693', '10:00:50.367361', '10:00:50.454665', '10:00:50.573076', '10:00:50.689137']"
2025-10-05,10:00:52.919819,10:01:00.324057,00082F18E9,2B_1T,no-go,23,11-74.npz,fa,"['10:00:52.973887', '10:00:53.161229', '10:00:53.309067', '10:00:53.448932', '10:00:53.579811']"
2025-10-05,10:01:15.335652,10:01:23.239022,00082F18E9,2B_1T,no-go,23,11-74.npz,fa,"['10:01:15.433428', '10:01:15.629927', '10:01:15.881279', '10:01:16.350972', '10:01:16.480228']"
2025-10-05,10:01:25.477428,10:01:27.420948,00082F18E9,2B_1T,go,24,21-21.npz,hit,"['10:01:25.586930', '10:01:26.274490', '10:01:26.383426', '10:01:26.509456', '10:01:26.614555']"
2025-10-05,10:01:28.812351,10:01:36.177925,00082F18E9,2B_1T,no-go,23,11-74.npz,fa,"['10:01:28.874152', '10:01:28.957196', '10:01:29.115522', '10:01:29.413219', '10:01:29.446487']"
2025-10-05,10:01:37.388898,10:01:45.123602,00082F18E9,2B_1T,no-go,23,11-74.npz,fa,"['10:01:37.444660', '10:01:37.520093', '10:01:37.671999', '10:01:38.232561', '10:01:38.357852']"
2025-10-05,10:01:47.150655,10:01:54.367139,00082F18E9,2B_1T,no-go,23,11-74.npz,fa,"['10:01:47.205605', '10:01:47.307785', '10:01:47.418180', '10:01:47.494395', '10:01:47.630664']"
2025-10-05,10:01:56.073776,10:01:57.345047,00082F18E9,2B_1T,go,24,21-21.npz,hit,"['10:01:56.135287', '10:01:56.196560', '10:01:56.285802', '10:01:56.423463', '10:01:56.560446']"
2025-10-05,10:01:58.865716,10:02:00.181131,00082F18E9,2B_1T,go,22,7-07.npz,hit,"['10:01:58.923655', '10:01:59.037543', '10:01:59.199113', '10:01:59.274349', '10:01:59.401794']"
