date,start time,end time,mouse ID,level,go\no-go,stim index,stim name,score,licks_time
2025-09-07,12:31:48.230027,12:31:49.490586,000822D804,TA,go,1,7-07.npz,hit,['12:31:48.302669']
2025-09-07,12:31:51.655253,12:31:55.461297,000822D804,TA,go,1,7-07.npz,miss,[]
2025-09-07,12:39:26.364400,12:39:27.957507,0007DEFBE1,TA,go,1,7-07.npz,hit,['12:39:27.078319']
2025-09-07,12:39:39.127363,12:39:42.942578,0007DEFBE1,TA,go,1,7-07.npz,miss,[]
2025-09-07,12:40:56.677421,12:40:57.916324,00082F18E9,TA,go,1,7-07.npz,hit,['12:40:56.802155']
2025-09-07,12:41:00.928890,12:41:04.736535,00082F18E9,TA,go,1,7-07.npz,miss,[]
2025-09-07,12:42:34.361824,12:42:38.174538,000822D804,TA,go,1,7-07.npz,miss,[]
2025-09-07,12:43:41.035682,12:43:44.836256,000822F347,TA,go,1,7-07.npz,miss,[]
2025-09-07,12:43:49.401990,12:43:50.655998,000822F347,TA,go,1,7-07.npz,hit,['12:43:49.465682']
2025-09-07,12:44:40.719961,12:44:41.937874,0007DEFBE1,TA,go,1,7-07.npz,hit,['12:44:40.763689']
2025-09-07,12:47:10.979791,12:47:14.809023,00082F18E9,TA,go,1,7-07.npz,miss,[]
2025-09-07,12:48:12.677517,12:48:14.875582,0007DEFBE1,TA,go,1,7-07.npz,hit,['12:48:14.014318']
2025-09-07,12:51:51.164222,12:51:54.987708,0007DEFBE1,TA,go,1,7-07.npz,miss,[]
2025-09-07,12:53:25.085332,12:53:26.330544,00082F18E9,TA,go,1,7-07.npz,hit,['12:53:25.302598']
2025-09-07,12:59:24.144152,12:59:27.937157,0007DEFBE1,TA,go,1,7-07.npz,miss,[]
2025-09-07,13:01:02.686828,13:01:06.433602,000822F347,TA,go,1,7-07.npz,miss,[]
2025-09-07,13:07:23.459564,13:07:27.220492,0007DEFBE1,TA,go,1,7-07.npz,miss,[]
2025-09-07,13:07:31.275001,13:07:35.054886,0007DEFBE1,TA,go,1,7-07.npz,miss,[]
2025-09-07,13:10:38.230882,13:10:42.011868,00082F18E9,TA,go,1,7-07.npz,miss,[]
2025-09-07,13:14:03.563892,13:14:07.345589,0007DEFBE1,TA,go,1,7-07.npz,miss,[]
2025-09-07,13:15:41.673365,13:15:45.445190,0007DEFBE1,TA,go,1,7-07.npz,miss,[]
2025-09-07,13:16:37.749929,13:16:41.544475,0007DEFBE1,TA,go,1,7-07.npz,miss,[]
2025-09-07,13:16:52.050593,13:16:53.401350,00082F18E9,TA,go,1,7-07.npz,hit,['13:16:52.569020']
2025-09-07,13:17:58.992319,13:18:02.778048,0007DEFBE1,TA,go,1,7-07.npz,miss,[]
2025-09-07,13:18:04.938821,13:18:08.705315,0007DEFBE1,TA,go,1,7-07.npz,miss,[]
2025-09-07,13:20:08.442877,13:20:12.219409,0007DEFBE1,TA,go,1,7-07.npz,miss,[]
2025-09-07,13:32:12.169656,13:32:15.185316,0007DEFBE1,TA,go,1,7-07.npz,hit,['13:32:14.296941']
2025-09-07,13:32:17.909076,13:32:21.724915,0007DEFBE1,TA,go,1,7-07.npz,miss,[]
2025-09-07,13:32:59.976716,13:33:03.811799,0007DEFBE1,TA,go,1,7-07.npz,miss,[]
2025-09-07,13:33:15.744642,13:33:19.614253,0007DEFBE1,TA,go,1,7-07.npz,miss,[]
2025-09-07,13:34:09.008513,13:34:12.855651,0007DEFBE1,TA,go,1,7-07.npz,miss,[]
2025-09-07,13:34:21.273093,13:34:25.136486,0007DEFBE1,TA,go,1,7-07.npz,miss,[]
2025-09-07,13:35:54.137770,13:35:57.964803,0007DEFBE1,TA,go,1,7-07.npz,miss,[]
2025-09-07,13:36:04.399127,13:36:08.314590,0007DEFBE1,TA,go,1,7-07.npz,miss,[]
2025-09-07,13:36:25.518734,13:36:29.354354,000822D804,TA,go,1,7-07.npz,miss,[]
