date,start time,end time,mouse ID,level,go\no-go,stim index,stim name,score,licks_time
2025-08-25,14:21:48.589898,14:21:52.476787,0007DECB4A,L1,no-go,3,14KHZ.npz,cr,[]
2025-08-25,14:21:58.855064,14:22:02.740135,0007DECB4A,L1,go,2,7KHZ.npz,miss,[]
2025-08-25,14:22:04.715615,14:22:07.012289,0007DECB4A,L1,go,2,7KHZ.npz,hit,"['14:22:05.366236', '14:22:05.531261', '14:22:05.696693', '14:22:05.861556', '14:22:06.028363', '14:22:06.193945']"
2025-08-25,14:22:08.777912,14:22:16.525967,0007DECB4A,L1,no-go,3,14KHZ.npz,fa,"['14:22:08.894500', '14:22:09.058612', '14:22:09.222577', '14:22:09.386323', '14:22:09.549654', '14:22:09.713480']"
2025-08-25,14:22:18.124301,14:22:26.297281,0007DECB4A,L1,no-go,3,14KHZ.npz,fa,"['14:22:18.654074', '14:22:18.820128', '14:22:18.984600', '14:22:19.148907', '14:22:19.314189', '14:22:19.478322']"
2025-08-25,14:22:28.551353,14:22:30.932925,0007DECB4A,L1,go,2,7KHZ.npz,hit,"['14:22:29.248660', '14:22:29.415663', '14:22:29.581438', '14:22:29.745850', '14:22:29.910286', '14:22:30.074791']"
2025-08-25,14:22:37.102438,14:22:40.974308,0007DECB4A,L1,go,2,7KHZ.npz,miss,[]
2025-08-25,14:22:43.193365,14:22:47.065792,0007DECB4A,L1,go,2,7KHZ.npz,miss,"['14:22:43.500801', '14:22:43.665590', '14:22:43.839526', '14:22:44.484717', '14:22:44.650159']"
2025-08-25,14:22:48.477255,14:22:51.233067,0007DECB4A,L1,go,2,7KHZ.npz,hit,"['14:22:48.995965', '14:22:49.161145', '14:22:49.886688', '14:22:50.052725', '14:22:50.216950', '14:22:50.380764']"
2025-08-25,14:22:52.479301,14:23:00.862357,0007DECB4A,L1,no-go,3,14KHZ.npz,fa,"['14:22:53.174392', '14:22:53.341872', '14:22:53.507160', '14:22:53.672355', '14:22:53.837659', '14:22:54.002868']"
2025-08-25,14:23:18.586587,14:23:22.398916,0007DECB4A,L1,go,2,7KHZ.npz,hit,"['14:23:20.714119', '14:23:20.881248', '14:23:21.045882', '14:23:21.210397', '14:23:21.375056', '14:23:21.539417']"
2025-08-25,14:23:24.330402,14:23:26.634875,0007DECB4A,L1,go,2,7KHZ.npz,hit,"['14:23:24.942299', '14:23:25.106846', '14:23:25.271210', '14:23:25.435991', '14:23:25.600664', '14:23:25.765280']"
2025-08-25,14:23:28.627158,14:23:36.335996,0007DECB4A,L1,no-go,3,14KHZ.npz,fa,"['14:23:28.682339', '14:23:28.853239', '14:23:29.021278', '14:23:29.185953', '14:23:29.350058', '14:23:29.514549']"
2025-08-25,14:23:37.566836,14:23:39.337705,0007DECB4A,L1,go,2,7KHZ.npz,hit,"['14:23:37.686123', '14:23:37.850269', '14:23:38.014607', '14:23:38.178351', '14:23:38.342456', '14:23:38.506071']"
2025-08-25,14:23:40.744658,14:23:48.846071,0007DECB4A,L1,no-go,3,14KHZ.npz,fa,"['14:23:41.188010', '14:23:41.361854', '14:23:41.525948', '14:23:41.689690', '14:23:41.853287', '14:23:42.017233']"
2025-08-25,14:23:57.472273,14:23:59.535383,0007DECB4A,L1,go,2,7KHZ.npz,hit,"['14:23:57.533699', '14:23:58.030884', '14:23:58.194821', '14:23:58.359478', '14:23:58.526306', '14:23:58.690710']"
2025-08-25,14:24:00.788441,14:24:08.813483,0007DECB4A,L1,no-go,3,14KHZ.npz,fa,"['14:24:01.156268', '14:24:01.319940', '14:24:01.483757', '14:24:01.647583', '14:24:01.811280', '14:24:01.976801']"
